0,1,4,Piast,67,17,20654,31,3191,7
1,2,8,Cracovia,54,11,17250,26,3255,5
2,3,-1,Legia,53,-10,19521,21,4506,12
3,4,4,Radomiak,53,9,21886,27,3188,3
4,5,-4,Raków,53,-21,22075,20,4149,11
5,6,-3,Lech,51,-7,21792,37,3786,5
6,7,5,Jagiellonia,49,8,24230,40,1042,0
7,8,6,Korona,48,10,18001,29,4004,3
8,9,7,Wisła,45,8,14908,16,3050,4
9,10,7,Lechia,45,15,9668,16,3160,3
10,11,-4,Warta,43,-2,14681,35,6503,9
11,12,-3,Zagłębie,43,-1,11966,8,5342,2
12,13,0,Stal,42,2,4731,13,3027,5
13,14,1,Śląsk,41,3,12698,21,5244,3
14,15,-9,Górnik,40,-7,17849,10,3066,0
15,16,-5,Widzew,40,-1,20909,25,3224,0
16,17,-13,Pogoń,39,-18,13597,12,3161,0
17,18,0,Miedź,34,12,9165,11,8154,9
